Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
absent-friend,Absent Friend,absent-friend,,0,
alla-andra-far-varann,Alla andra får varann,alla-andra-far-varann,,1,
april-april,"April,april",april-april,,2,
augustin,Augustin,augustin,,3,
bara-hon-alskar-mig,Bara hon älskar mig,bara-hon-alskar-mig,,4,
beatles,Beatles,beatles,,5,
boogaloo,Boogaloo,boogaloo,,6,
bra-vibrationer,Bra vibrationer,bra-vibrationer,,7,
dag-efter-dag,Dag efter dag,dag-efter-dag,,8,
den-vilda,Den vilda,den-vilda,,9,
det-blir-alltid-varre-framat-natten,Det blir alltid värre framåt natten,det-blir-alltid-varre-framat-natten,,10,
det-borjar-verka-karlek-banne-mig,"Det börjar verka kärlek,banne mig",det-borjar-verka-karlek-banne-mig,,11,
diggi-loo-diggi-ley,Diggi-Loo Diggi-Ley,diggi-loo-diggi-ley,,12,
e-de-det-har-du-kallar-karlek,E' de' det här du kallar kärlek?,e-de-det-har-du-kallar-karlek,,13,
eloise,Eloise,eloise,,14,
en-dag,En dag,en-dag,,15,
en-gang-i-stockholm,En gång i Stockholm,en-gang-i-stockholm,,16,
euphoria,Euphoria,euphoria,,17,
framling,Främling,framling,,18,
fangad-av-en-stormvind,Fångad av en stormvind,fangad-av-en-stormvind,,19,
fangad-i-en-drom,Fångad i en dröm,fangad-i-en-drom,,20,
give-me-your-love,Give Me Your Love,give-me-your-love,,21,
hero,Hero,hero,,22,
heroes,Heroes,heroes,,23,
harliga-sommardag,Härliga sommardag,harliga-sommardag,,24,
i-can-t-go-on,I Can't Go On,i-can-t-go-on,,25,
i-morgon-ar-en-annan-dag,I morgon är en annan dag,i-morgon-ar-en-annan-dag,,26,
if-i-were-sorry,If I Were Sorry,if-i-were-sorry,,27,
invincible,Invincible,invincible,,28,
it-hurts,It Hurts,it-hurts,,29,
jennie-jennie,"Jennie,Jennie",jennie-jennie,,30,
judy-min-van,"Judy,min vän",judy-min-van,,31,
just-nu,Just nu!,just-nu,,32,
karleken-ar,Kärleken är,karleken-ar,,33,
la-voix,La voix,la-voix,,34,
las-vegas,Las Vegas,las-vegas,,35,
lilla-stjarna,Lilla stjärna,lilla-stjarna,,36,
listen-to-your-heartbeat,Listen to Your Heartbeat,listen-to-your-heartbeat,,37,
never-let-it-go,Never Let It Go,never-let-it-go,,38,
nygammal-vals,Nygammal vals,nygammal-vals,,39,
popular,Popular,popular,,40,
satellit,Satellit,satellit,,41,
se-pa-mej,Se på mej,se-pa-mej,,42,
sol-och-var,Sol och vår,sol-och-var,,43,
som-en-drom,Som en dröm,som-en-drom,,44,
som-en-vind,Som en vind,som-en-vind,,45,
stad-i-ljus,Stad i ljus,stad-i-ljus,,46,
stjarnorna,Stjärnorna,stjarnorna,,47,
take-me-to-your-heaven,Take Me to Your Heaven,take-me-to-your-heaven,,48,
the-worrying-kind,The Worrying Kind,the-worrying-kind,,49,
this-is-my-life,This Is My Life,this-is-my-life,,50,
undo,Undo,undo,,51,
vita-vidder,Vita vidder,vita-vidder,,52,
waterloo,Waterloo,waterloo,,53,
when-spirits-are-calling-my-name,When Spirits Are Calling My Name,when-spirits-are-calling-my-name,,54,
you,You,you,,55,
you-re-summer,You're Summer,you-re-summer,,56,
